Gene Name,SynH_Exp_BXHU,SynH_Stat1_CUOC,log2change,counts_change,binned,Threshold where |count difference| is,Threshold of 2^n where n is
yihU,85,1370,4.010569241710187,1285,Upregulated,100000,3
yihT,130,1527,3.5541165337683966,1397,Upregulated,100000,3
yihS,193,1833,3.2475340332718052,1640,Upregulated,100000,3
yihR,26,1212,5.542734265331859,1186,Upregulated,100000,3
yihQ,73,2759,5.240105182473256,2686,Upregulated,100000,3
yihP,59,1762,4.900355159558573,1703,Upregulated,100000,3
yihO,49,1320,4.751612370130608,1271,Upregulated,100000,3
ompL,23,310,3.7525624492172245,287,Upregulated,100000,3
yihN,30,1034,5.107129874706416,1004,Upregulated,100000,3
yihM,202,784,1.9564983613634135,582,Unchanged,100000,3
yihL,123,686,2.479550260833572,563,Unchanged,100000,3
bipA,15404,6513,-1.241910896460685,-8891,Unchanged,100000,3
glnA,37650,4026,-3.2252307875253132,-33624,Downregulated,100000,3
glnL,2170,1207,-0.8462693665768202,-963,Unchanged,100000,3
glnG,2812,1939,-0.5362837909657429,-873,Unchanged,100000,3
hemN,3168,2152,-0.5578942575229855,-1016,Unchanged,100000,3
yihI,1747,591,-1.563649572739227,-1156,Unchanged,100000,3
yihA,1405,982,-0.5167752007935955,-423,Unchanged,100000,3
spf,1,1,0.0,0,Unchanged,100000,3
polA,6942,4346,-0.6756631906473631,-2596,Unchanged,100000,3
yihG,94,663,2.81827620843495,569,Unchanged,100000,3
yihF,73,909,3.6383119253140896,836,Upregulated,100000,3
dsbA,3208,1199,-1.4198424830406966,-2009,Unchanged,100000,3
srkA,1460,1400,-0.060541541935050854,-60,Unchanged,100000,3
yihD,1200,263,-2.1898997012035784,-937,Unchanged,100000,3
mobA,482,536,0.15319985422781088,54,Unchanged,100000,3
mobB,199,411,1.046369963138034,212,Unchanged,100000,3
hemG,824,961,0.22189209359053216,137,Unchanged,100000,3
trkH,2179,2871,0.39788713409127496,692,Unchanged,100000,3
yigZ,910,988,0.11864449649861893,78,Unchanged,100000,3
pepQ,7192,4804,-0.5821568698088132,-2388,Unchanged,100000,3
fadB,83,4238,5.674128441025245,4155,Upregulated,100000,3
fadA,113,1989,4.137648598418556,1876,Upregulated,100000,3
fre,2208,2326,0.07511092469504942,118,Unchanged,100000,3
ubiD,3612,3922,0.11879164271129077,310,Unchanged,100000,3
rfaH,413,538,0.38146439113717884,125,Unchanged,100000,3
tatC,2151,1476,-0.5433148033626648,-675,Unchanged,100000,3
tatB,2415,1601,-0.5930498812068785,-814,Unchanged,100000,3
tatA,1202,482,-1.318331844481224,-720,Unchanged,100000,3
ubiB,2176,2923,0.4257712725557133,747,Unchanged,100000,3
ubiJ,1465,1552,0.08322789287751733,87,Unchanged,100000,3
ubiE,2522,1969,-0.3571051644266662,-553,Unchanged,100000,3
rmuC,764,2777,1.8618826337830974,2013,Unchanged,100000,3
udp,4338,3195,-0.44121412183791714,-1143,Unchanged,100000,3
ysgA,990,1785,0.85042364394949,795,Unchanged,100000,3
metE,151815,8934,-4.086864277642487,-142881,Downregulated,100000,3
metR,1649,1797,0.12399901007247463,148,Unchanged,100000,3
bioP,168,1461,3.120423040024738,1293,Upregulated,100000,3
yigL,1041,1303,0.3238670152687173,262,Unchanged,100000,3
pldB,1659,1719,0.05125565852219775,60,Unchanged,100000,3
rhtB,317,927,1.5480864984861236,610,Unchanged,100000,3
rhtC,1200,1291,0.1054545948113099,91,Unchanged,100000,3
recQ,2236,4352,0.9607583684071493,2116,Unchanged,100000,3
pldA,1157,1401,0.2760680913233281,244,Unchanged,100000,3
yigI,35,564,4.010268335453827,529,Upregulated,100000,3
rarD,35,1308,5.223863808553117,1273,Upregulated,100000,3
yigG,19,41,1.1096244911744981,22,Unchanged,100000,3
yigF,51,39,-0.38702312310924736,-12,Unchanged,100000,3
corA,1730,1625,-0.09033231972090777,-105,Unchanged,100000,3
uvrD,4390,4846,0.1425734650286259,456,Unchanged,100000,3
yigB,1270,1401,0.14162845877128982,131,Unchanged,100000,3
xerC,1449,1497,0.04701662650148736,48,Unchanged,100000,3
yigA,1139,1302,0.19296170145752364,163,Unchanged,100000,3
dapF,2502,1799,-0.4758866029143375,-703,Unchanged,100000,3
cyaY,526,360,-0.5470658929626278,-166,Unchanged,100000,3
cyaA,19913,8497,-1.228685117159587,-11416,Unchanged,100000,3
hemC,4656,3040,-0.6150197345773359,-1616,Unchanged,100000,3
hemD,2000,1464,-0.4500844463780446,-536,Unchanged,100000,3
hemX,3758,2514,-0.5799804169995477,-1244,Unchanged,100000,3
hemY,3585,2489,-0.5264068886082314,-1096,Unchanged,100000,3
aslA,190,1831,3.268560467466389,1641,Upregulated,100000,3
aslB,67,1339,4.320851054866538,1272,Upregulated,100000,3
yifK,1189,1944,0.7092795038601252,755,Unchanged,100000,3
rffM,364,754,1.0506260730699681,390,Unchanged,100000,3
wzyE,423,1677,1.9871531204443966,1254,Unchanged,100000,3
wzxE,861,1705,0.9856865965146908,844,Unchanged,100000,3
wecE,1198,1202,0.004808987922399752,4,Unchanged,100000,3
rffC,535,801,0.5822633511202008,266,Unchanged,100000,3
rffH,1371,1245,-0.1390828288237825,-126,Unchanged,100000,3
rffG,1148,1197,0.06030051026781422,49,Unchanged,100000,3
wecC,1649,1850,0.1659338719662074,201,Unchanged,100000,3
wecB,1558,1501,-0.05377125644098082,-57,Unchanged,100000,3
wzzE,1756,1541,-0.1884259830205729,-215,Unchanged,100000,3
rfe,2529,1782,-0.5050697001413166,-747,Unchanged,100000,3
rho,16327,6259,-1.3832556462639225,-10068,Unchanged,100000,3
trxA,4974,1611,-1.6264500135103377,-3363,Unchanged,100000,3
rhlB,9617,4307,-1.1589035953510602,-5310,Unchanged,100000,3
gpp,4838,3572,-0.437678688858702,-1266,Unchanged,100000,3
rep,2378,3712,0.6424479953819163,1334,Unchanged,100000,3
yifN,148,317,1.0988856645104577,169,Unchanged,100000,3
ppiC,458,285,-0.68438567904484,-173,Unchanged,100000,3
ilvC,6527,7258,0.15315201751530103,731,Unchanged,100000,3
